"arrival_date_month","country","important_event","city_bookings","resort_bookings"
"March","PRT","Spain and Great Britain have started making more reservations and Germany's bookings are closing in on the ammount French has made.<br><br>The sudden increase in Spain can be explained by the fact that on 2016 the timing of <a href=""https://www.eltiempo.es/noticias/semana-santa-2016-cuando-cae-y-por-que-se-adelanta"">Easter</a> was earlier than usual, so we should expect a decrease on the following months",490,586
"February","PRT","People has started to go back to the hotels and we can notice France has surpased spain in ammount of bookings, indicating they have started recovering from the consecuences of the terrorist attack.",469,548
"April","PRT","Portugueses are making less reservations on Resort Hotel and french have increased drastically their ammount of bookings for City Hotel.<br><br>Germany on the other hand has also suffered an increase in reservations in both hotels.<br><br>As expected, the ammount of bookings from Spain has decreased.",501,437
"June","PRT","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",622,208
"May","PRT","Great Britain becomes again the country with most Resort Hotel Bookings.",523,293
"July","PRT","The Portuguese football team is European champion, which will probably bring visibility to Portugal and, therefore, more reservations from countries where the sport is popular, like Spain.",492,298
"October","GBR","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",195,537
"December","PRT","The ammount of bookings from Germany has drastically decreased with respect to the previous month.",292,430
"January","PRT","Torusim decreases from previous year showing that people still has fear to travel.",307,373
"August","PRT","Bookings from Portugal in City Hotel drastically decrease.<br><br>On the other hand and probably due to the popularity of football in this country, there has been an increase in bookings from Spain in both hotels.",215,423
"November","PRT","Lisbon becomes the venue for the Web Summit, the unmissable “tech and internet” event that has been running since 2009. For the first five years, the event was held in Dublin, Ireland. From 2016, Lisbon, Portugal, was chosen to host the event.<br><br>However this did not translate into an increase in bookings as the ammount of bookings for each country has decreased with respect to the previous month.",279,346
"September","GBR","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",261,338
"September","PRT","The ammount of bookings from portugal have decreased to the point that this is the first month in all the plot where it is not the country with more bookings.<br><br>On the other hand, the ammount of bookings from Great Britain have increased.",386,211
"May","GBR","Great Britain becomes again the country with most Resort Hotel Bookings.",171,381
"October","PRT","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",253,286
"October","DEU","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",448,49
"June","GBR","Tourism from Portugal and Germany increases. In both cases there is a lot of difference between ammount of bookings from City and Resort Hotel.",143,332
"October","FRA","MAAT, the Museum of Art, Architecture and Technology opens in Lisbon. A museum located on the banks of the Tagus and easily recognizable with its futuristic building with white corrugated roof.<br><br>This increased the ammount of bookings from Great Britain, Germany, France and Spain. Being Great Britain the only foreign country that has booked more rooms in Resort Hotel than in City Hotel.",429,43
"May","FRA","Great Britain becomes again the country with most Resort Hotel Bookings.",392,76
