"arrival_date_month","country","important_event","city_bookings","resort_bookings"
"October","PRT","Great Britain surpases France in ammount of bookings, additionally, the ammount of people in Portugal going to resorts has increased slightly surpasing Great Britain.<br><br>The ammount of french people booking City Hotel grow increasing the disparities between the ammount of bookings between the two hotels.",838,346
"September","PRT","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",733,207
"August","PRT","France and Italy surpass Great Britain in ammount of bookings and we can notice that, unlike in July, most foreign countries are booking City Hotel.",373,513
"July","PRT","The Portuguese beach soccerteam became world champions, beating Tahiti 5-3. The final was held in Espinho , Portugal, the host country that year.<br><br>This gives portugal visibility<br><br>At this point turism mainly comes from Portugal, Spain, and Great Britain; and most people in these countries book Resort Hotel.",375,438
"November","PRT","A <a href=""https://es.wikipedia.org/wiki/Atentados_de_Par%C3%ADs_de_noviembre_de_2015"">terrorist attack</a> takes place on Paris reducing turism globally due to fear. This decrease is specially noticeable in Great Britain which stops being the second country with most bookings.",348,414
"December","PRT","The ammount of bookings from Spain slightly increases with almost no difference in ammount between City and Resort Hotel<br><br>Even with the devastating hit that the terrorist attack brought to turism, Portugal passes the 10 million foreign visitors per year mark.",282,444
"August","ESP","France and Italy surpass Great Britain in ammount of bookings and we can notice that, unlike in July, most foreign countries are booking City Hotel.",288,161
"October","GBR","Great Britain surpases France in ammount of bookings, additionally, the ammount of people in Portugal going to resorts has increased slightly surpasing Great Britain.<br><br>The ammount of french people booking City Hotel grow increasing the disparities between the ammount of bookings between the two hotels.",97,333
"December","ESP","The ammount of bookings from Spain slightly increases with almost no difference in ammount between City and Resort Hotel<br><br>Even with the devastating hit that the terrorist attack brought to turism, Portugal passes the 10 million foreign visitors per year mark.",199,195
"September","FRA","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",233,125
"October","FRA","Great Britain surpases France in ammount of bookings, additionally, the ammount of people in Portugal going to resorts has increased slightly surpasing Great Britain.<br><br>The ammount of french people booking City Hotel grow increasing the disparities between the ammount of bookings between the two hotels.",252,68
"September","GBR","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",74,226
"September","ESP","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",210,89
"October","ESP","Great Britain surpases France in ammount of bookings, additionally, the ammount of people in Portugal going to resorts has increased slightly surpasing Great Britain.<br><br>The ammount of french people booking City Hotel grow increasing the disparities between the ammount of bookings between the two hotels.",120,132
"November","FRA","A <a href=""https://es.wikipedia.org/wiki/Atentados_de_Par%C3%ADs_de_noviembre_de_2015"">terrorist attack</a> takes place on Paris reducing turism globally due to fear. This decrease is specially noticeable in Great Britain which stops being the second country with most bookings.",183,41
"December","FRA","The ammount of bookings from Spain slightly increases with almost no difference in ammount between City and Resort Hotel<br><br>Even with the devastating hit that the terrorist attack brought to turism, Portugal passes the 10 million foreign visitors per year mark.",164,27
"November","ESP","A <a href=""https://es.wikipedia.org/wiki/Atentados_de_Par%C3%ADs_de_noviembre_de_2015"">terrorist attack</a> takes place on Paris reducing turism globally due to fear. This decrease is specially noticeable in Great Britain which stops being the second country with most bookings.",53,137
"July","ESP","The Portuguese beach soccerteam became world champions, beating Tahiti 5-3. The final was held in Espinho , Portugal, the host country that year.<br><br>This gives portugal visibility<br><br>At this point turism mainly comes from Portugal, Spain, and Great Britain; and most people in these countries book Resort Hotel.",16,168
"August","FRA","France and Italy surpass Great Britain in ammount of bookings and we can notice that, unlike in July, most foreign countries are booking City Hotel.",137,41
"October","DEU","Great Britain surpases France in ammount of bookings, additionally, the ammount of people in Portugal going to resorts has increased slightly surpasing Great Britain.<br><br>The ammount of french people booking City Hotel grow increasing the disparities between the ammount of bookings between the two hotels.",135,22
"July","GBR","The Portuguese beach soccerteam became world champions, beating Tahiti 5-3. The final was held in Espinho , Portugal, the host country that year.<br><br>This gives portugal visibility<br><br>At this point turism mainly comes from Portugal, Spain, and Great Britain; and most people in these countries book Resort Hotel.",3,141
"September","IRL","Tourism continues to grow, but resort bookings are decreasing in Portugal.<br><br>However, bookings from Great Britain have increase to the point that they have surpased Spain and have become the country with most Resort Hotel Bookings, even above Portugal.",10,124
"August","ITA","France and Italy surpass Great Britain in ammount of bookings and we can notice that, unlike in July, most foreign countries are booking City Hotel.",121,9
"November","GBR","A <a href=""https://es.wikipedia.org/wiki/Atentados_de_Par%C3%ADs_de_noviembre_de_2015"">terrorist attack</a> takes place on Paris reducing turism globally due to fear. This decrease is specially noticeable in Great Britain which stops being the second country with most bookings.",33,95
