"arrival_date_month","country","important_event","city_bookings","resort_bookings"
"February","PRT","Introduction of the “coca-cola” tax on sugary drinks. The aim is to reduce sugar consumption by the Portuguese population. The revenue generated by this tax will be used for the national health service.<br><br>This could explain why there has been a decrease in portuguese bookings for Resort Hotel and an increase in reservations for City Hotel.<br><br>Similar to what happened in 2016 there is an increase in bookings from France and Spain which shows a tendency, additionally, the increase on bookings from Great Britain has started a month earlier than what happened in the previous year.",338,491
"January","PRT","Similarly to the previous year there is a decrease in bookings from foreign countries with respect to December of the previous year but, unlike what happened on January 2016, there has been an increase of portuguese bookings for the Resort Hotel.",287,536
"August","PRT","Similar to 2016, Spain has surpased Germany in ammount of bookings.<br><br>Throughout this analysis we have found repeating patterns in the years such as a decrease of bookings at the start and end of the year, we have also identified the main players when it comes to reservations being: Portugal, Great Britain, Germany and Spain.<br><br>We have also seen how certain events such as a terrorist attack in another country or the portuguese beach soccerteam becoming world champion can impact local and foreign reservations<br><br>Finally, we have seen that people tend to book more City Hotel than Resort Hotel.",309,387
"March","PRT","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",327,356
"May","GBR","Portugal commemorates 100 years since the Fatima apparitions. An event marked by the presence of Pope Francis at the shrine to canonize Francisco and Jacinta, two of the three shepherds to whom the Virgin is said to have appeared in 1917. This is the sixth time a pope has visited Fatima, Portugal.<br><br>Furthermore, Portugal wins the Eurovision Song Contest with the song ” Amar pelos dois ” sung by Salvador Sobral. Portugal has been taking part in the contest since 1964, and it’s only in 2017 that the country experiences its first victory.<br><br>Zooming in on the plot we can see that aside from the increase in bookings from Great Britain, France, and Germany; There has been a small increase in the ammount of bookings frome Ireland in comparison to the previous months.",258,394
"June","GBR","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",333,277
"June","PRT","A huge fire breaks out in Pedrogão Grande, burning more than 530,000 hectares and killing 64 people. The biggest and deadliest forest fire in the country’s history.<br><br>This could explain why the ammount of bookings has decreased from the previous month,.",272,282
"July","PRT","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",228,325
"March","FRA","The airport on the Portuguese island of Madeira was renamed ” Aeroporto Cristiano Ronaldo“, the player’s hometown. A bust of the player was also installed, but this caused controversy due to its “non-resemblance” to the player.<br><br>This could explain the sudden increase on bookings from France surpasing even portuguese reservations.",460,84
"July","GBR","Portugal becomes th country with more reservations again and there is an increase in City Hotel reservations from Germany.",340,188
